Seed,Accuracy,Balanced Accuracy,AUC (Macro),AUCPRC (Macro),F1 Macro,PPV (Precision),NPV,Sensitivity (Recall),Specificity,FLOPs/Sample,SynOps/Sample,Latency
42,0.08148148148148149,0.06991563948321611,0.6330176122444777,0.0676469522171544,0.04678556828345074,0.050196704173249916,0.9774116090053387,0.06991563948321611,0.9773973993560257,121728,5064.5530864197535,2.7139491014519837e-05
1,0.08888888888888889,0.08787726786678927,0.6976610467537987,0.08482021689487801,0.05404584313391983,0.06596089780073051,0.9777227763410953,0.08787726786678927,0.977712033868223,121728,4813.411522633744,1.121293370125225e-05
7,0.09876543209876543,0.07687954858462036,0.7107083558586224,0.07960350707339954,0.0590223619444271,0.0692879602792292,0.9778650694766472,0.07687954858462036,0.9778704747662071,121728,4861.299588477366,1.1572033289528678e-05
13,0.1440329218106996,0.16606259939551907,0.7231275304515865,0.1311157731803099,0.10530518197502024,0.1277348029689263,0.9791370076398445,0.16606259939551907,0.9791031810721038,121728,4881.464197530864,1.1510221065317161e-05
21,0.11851851851851852,0.19628856683297857,0.77221788024842,0.13234038199360404,0.10510611558734145,0.10151459258566134,0.9785337943380659,0.19628856683297857,0.9785169866103981,121728,4914.82633744856,1.1297116063749839e-05
69,0.15555555555555556,0.1503472584841253,0.7421503956959112,0.1334559143982752,0.1012575742322284,0.11096177793491596,0.9792066404796006,0.1503472584841253,0.9791408222668542,121728,4774.767901234568,1.1111286932548868e-05
88,0.11440329218106995,0.10500774198900056,0.6951429776253564,0.09617002862045403,0.06602081092608995,0.06978312855730226,0.9783948333513903,0.10500774198900056,0.9783870287701553,121728,4773.78353909465,1.1167800966113682e-05
101,0.14238683127572016,0.15450065072713812,0.7566562919559117,0.16479143581668682,0.10151248918487116,0.12284097392913323,0.9788084916289773,0.15450065072713812,0.9787967660319116,121728,4947.785185185186,1.7963809731565877e-05
404,0.09876543209876543,0.09294456356788404,0.671611434701562,0.0934032329834322,0.06329552887948815,0.07131555719817692,0.9778850393758256,0.09294456356788404,0.9778831925786087,121728,4822.372016460906,1.1316150304221322e-05
777,0.1242798353909465,0.11505210235135166,0.711781533924225,0.10518109115931365,0.07857376710168029,0.07467086738595954,0.9784239606881462,0.11505210235135166,0.9783762746189671,121728,5061.2609053497945,1.1498447308324492e-05
