seed,accuracy,synops_per_sample,balanced_accuracy,AUC,AUPRC,PPV,NPV,F1_macro,Sensitivity,Specificity,latency
42,0.23865110246433205,964564.1335927367,0.10473067907965654,0.7243619627208674,0.11136130671230814,0.10421504686006511,0.9803770351152117,0.10024705563132662,0.10473067907965654,0.9799709587376361,8.484593625198542e-05
1,0.24319066147859922,922819.4876783398,0.0776479038071749,0.7140039465623532,0.08823047871315477,0.09089700765545213,0.9806466373491938,0.0711112720580802,0.0776479038071749,0.9802698814121176,8.300801040906696e-05
7,0.2496757457846952,1037038.0823605707,0.10398391471914609,0.7084887896404651,0.10424069639075814,0.11183341233897931,0.9807360287295707,0.10130032657145621,0.10398391471914609,0.9803892096838869,8.35635473446778e-05
13,0.25486381322957197,1092161.928015564,0.09175333826932364,0.7055546555277328,0.09489438468778798,0.1119127402140908,0.9808575355126106,0.09000977983227813,0.09175333826932364,0.9803658533537366,8.796238559074748e-05
21,0.2438391699092088,938593.6543450064,0.08839015931769026,0.7683627291228883,0.09443669286473838,0.08550832931887517,0.9806240342274639,0.08017473105932416,0.08839015931769026,0.9801114003107493,8.319942558476587e-05
69,0.23865110246433205,912294.8197146563,0.08053362147933885,0.6966946421257592,0.0879150962886514,0.09242897072976435,0.9804258809277857,0.08051020212461446,0.08053362147933885,0.9799385351264873,8.500704660180632e-05
88,0.25421530479896237,882008.1134889753,0.0985920767129363,0.7369296910495394,0.09190067718218829,0.09803158918822054,0.9808897207083527,0.09379776201659867,0.0985920767129363,0.9805124789343679,8.390432201934695e-05
101,0.25745784695201035,973098.2120622568,0.09434780858116947,0.7192595130832682,0.09535708271129047,0.1327447867076118,0.9809450793061221,0.09248076537994107,0.09434780858116947,0.9803807903316112,8.469765906822512e-05
404,0.24319066147859922,881493.2127107652,0.08377475894325484,0.7246429501075703,0.09302174611676375,0.08879932597706577,0.9805413055079352,0.08041841768571524,0.08377475894325484,0.9800143766543065,8.253055478502959e-05
777,0.2594033722438392,921748.8171206226,0.09649347013571292,0.7400983087048705,0.08821909668328241,0.11202125011421155,0.9810896139972128,0.09060648259282675,0.09649347013571292,0.9804433540297264,8.410996190923352e-05
