Seed,Ablation,Accuracy,Balanced Accuracy,AUC (Macro),AUCPRC (Macro),F1 Macro,PPV (Precision),NPV,Sensitivity (Recall),Specificity,FLOPs/Sample,SynOps/Sample,Latency
42,No_Routing,0.7736625514403292,0.6837345548923447,0.9520922693781158,0.7447785720793165,0.6613291115809344,0.6683499053517095,0.9943617883552301,0.6837345548923447,0.994377294055856,200512.00000000722,15390.638683127572,9.29944309187524e-05
1,No_Routing,0.762962962962963,0.6880584412200916,0.97792146753486,0.7258057198921022,0.6715845060088561,0.674633898930348,0.9940645752817242,0.6880584412200916,0.9940875195115213,200512.00000000722,12893.893004115227,0.0001269521046077273
7,No_Routing,0.7851851851851852,0.7085192568567787,0.9748699660502658,0.7593183563587166,0.6941296490084677,0.7044153746452919,0.9946290630254996,0.7085192568567787,0.994629280126465,200512.00000000722,16446.778600823047,0.00011200198420771846
13,No_Routing,0.7596707818930041,0.712970264517104,0.9761313465541044,0.7467646277304917,0.6877504961011323,0.6833632403555293,0.9939944676004138,0.712970264517104,0.9940002820460688,200512.00000000722,14678.670781893004,9.731245629581405e-05
21,No_Routing,0.7358024691358025,0.742881934658785,0.9780447484969953,0.7332895474393533,0.6879345365419648,0.6615134059627964,0.9933503119909062,0.742881934658785,0.9934083093411432,200512.00000000722,15563.667489711934,9.366278785736963e-05
69,No_Routing,0.7539094650205761,0.6658609642923826,0.9712430538607245,0.725361863549106,0.6447240256839134,0.64682292692501,0.9938597602240448,0.6658609642923826,0.9938757808231506,200512.00000000722,15842.821399176955,0.00014349187843102978
88,No_Routing,0.674074074074074,0.6511767086387835,0.9743592677208054,0.6916083289687214,0.6282390949176133,0.6493513123611614,0.9918708270912588,0.6511767086387835,0.9919035450782672,200512.00000000722,14255.912757201646,0.00011412341898851434
101,No_Routing,0.7563786008230453,0.7201608740274298,0.969514198415187,0.7291799215399136,0.6882830601348641,0.6791526291111555,0.99388636778209,0.7201608740274298,0.9939448308368015,200512.00000000722,12793.279835390946,0.00010754404735172727
404,No_Routing,0.6041152263374485,0.6315507251180721,0.9555545222730728,0.6243779694640358,0.5856572035675897,0.5891641631438177,0.9901501415260728,0.6315507251180721,0.9901520344776709,200512.00000000722,11708.317695473252,9.736681180726353e-05
777,No_Routing,0.7539094650205761,0.6880206957166091,0.9536461498928375,0.6970593319241862,0.6653122619471779,0.660514104638235,0.993847490516518,0.6880206957166091,0.9938714857831256,200512.00000000722,12979.07489711934,9.44216064955472e-05
