Seed,Accuracy,Balanced Acc,F1 Macro,AUC,AUCPRC,PPV (Prec),NPV,Sensitivity,Specificity,FLOPS/Inf,Latency (s)
42,0.8061630218687873,0.8117271583064308,0.7632991974267365,0.9918259482899965,0.865303484458679,0.7536137125614644,0.9944044351334155,0.8117271583064308,0.9946355108910491,342784.0,2.174941493313071e-05
1,0.8021868787276342,0.8137410941254224,0.7776354955052214,0.9857924949591675,0.8615807218019597,0.7732545431863533,0.9942861122028919,0.8137410941254224,0.9945263576196943,342784.0,1.3442684120496746e-05
7,0.7982107355864811,0.8064684602410495,0.7562328861971316,0.9876023902864817,0.8486801784130658,0.7362569280004218,0.9941796611104025,0.8064684602410495,0.9944207281409314,342784.0,1.3220618306760996e-05
13,0.8121272365805169,0.8068650060040905,0.7660868546250627,0.9904413877040602,0.8607374004486316,0.7519741314992522,0.9945965047108014,0.8068650060040905,0.994810754673709,342784.0,1.5418761767165562e-05
21,0.8071570576540755,0.8097179087443956,0.765949637475127,0.9897249333873624,0.8676318033520231,0.7518397400628093,0.9944424155825675,0.8097179087443956,0.9946617699294084,342784.0,1.3431782276919538e-05
69,0.8031809145129225,0.7890737759122788,0.737488161246898,0.9860584173214852,0.8460407950304611,0.7255553670748703,0.9943342868681652,0.7890737759122788,0.9945644805336351,342784.0,1.3738218880078902e-05
88,0.8151093439363817,0.7870054855499046,0.7392106278736569,0.9901283855116084,0.8573558441633097,0.7413810685558284,0.9946886245834384,0.7870054855499046,0.9948994426872176,342784.0,2.0080247882820265e-05
101,0.8190854870775348,0.8219661703686788,0.7731806097198579,0.9917992712369227,0.8595505678105005,0.7548879503341499,0.9947733592200374,0.8219661703686788,0.995009179348423,342784.0,1.8508723431505693e-05
404,0.7992047713717694,0.7916810201082015,0.7517355190425618,0.9897010510043542,0.8618531042432577,0.7464545070302321,0.994205102468638,0.7916810201082015,0.9944495852367375,342784.0,1.4056505313213492e-05
777,0.8111332007952287,0.804711725998309,0.7634153779917913,0.989780562597187,0.8468523452099155,0.7457016972162152,0.9945522126648952,0.804711725998309,0.9947820103596056,342784.0,1.3472782688633822e-05
